,Title,Published_date,Views,Likes,Dislikes,Comments,videoid
113,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10169,310,0,52,GO420aMtHfk
114,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,23773,707,0,134,KQ80oD_boBM
115,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,39684,1164,0,148,r-DR9HBaipU
116,What is the #66DaysOfData?,2020-12-26,70857,2338,0,200,qV_AlRwhI3I
117,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131751,5952,0,488,41Clrh6nv1s
118,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11132,402,0,133,YR9Faf1uZDg
119,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23757,724,0,324,myhoWUrSP7o
120,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28700,871,0,160,ji7DtgUeKCI
121,6 Lessons from #66DaysOfData,2020-11-13,6775,338,0,93,4039x4r-hGE
122,100K Channel Update + AMA Stream!,2020-11-12,2322,126,0,22,78LjdAAw0wA
123,Find a Data Science Project With These 3 Techniques,2020-11-06,17049,733,0,106,yUrrf3Pm33s
124,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28177,689,0,155,domVw8isGOI
125,git for Data Science Made Simple... (Hopefully),2020-10-23,21468,913,0,92,_0rHU6qAQe0
126,The PODCAST you might have asked for?,2020-10-19,2128,93,0,44,tnpV1etgcxs
127,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6804,450,0,113,Uf0dO-pgOrk
128,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14735,428,0,47,N97MhZEp2UQ
129,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7079,150,0,62,1Ir1NgCuI0Y
130,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12367,580,0,83,d6FeV8WXPWY
131,Sh*t Data Scientists Say (Parody),2020-10-05,9705,581,0,144,WRF_dKZ_i24
132,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8641,364,0,93,UpaEjBOMNqs
133,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7101,287,0,61,UKuK2fXu_dU
134,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11969,291,0,69,Ft4GVkQQtgk
135,5 Essential Data Science Projects for Your Portfolio,2020-09-26,74360,3133,0,206,BBDiadC8BvE
136,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5229,199,0,64,7VcdvSyoxnc
137,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,13997,523,0,60,8Vxjp2KVHqs
138,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7554,253,0,34,Kq9dkZu0bpg
139,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5128,197,0,56,omdhf8d53FM
140,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4361,156,0,35,apf6A3Nstm8
141,The 5 Pillars of Success I Live By,2020-09-11,10165,872,0,152,jf3j0lWmFPU
142,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1897,79,0,25,g7on3Rw0Ovg
143,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4061,164,0,43,rLawTH--l2Y
144,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11978,744,0,145,-pdXWmj9xxU
145,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18099,575,0,89,vfV4nm004VQ
146,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18308,796,0,93,oHUD2T_VXfI
147,Why I'm Starting Data Science Over Again.,2020-08-29,50839,2595,0,450,uXLnbdHMf8w
148,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15418,638,0,78,5v_ulmGv-gc
149,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13455,474,0,55,q6Lf2yhvluw
150,Don't Buy My Course..,2020-08-21,7352,359,0,146,iGUiLWFDWfk
151,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29169,1109,0,166,SsGKZe4dVyk
152,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3262,127,0,38,RAMxzqSMDKE
153,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6377,539,0,108,YbTMIxjk4hI
154,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5088,188,0,39,S_CuB__nsmI
155,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,13303,418,0,53,KEBVcVwFzaI
156,The Plagiarism Problem in Data Science,2020-08-07,13121,628,0,145,vQGJvmhpq_s
157,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14538,603,0,89,Xgg7dIKys9E
158,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4948,186,0,56,UuR3nomI5AE
159,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11549,582,0,90,6tQtwqthUMI
160,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2344,116,0,34,QN3wXPZSjpE
161,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5771,253,0,112,rdo8YBasqqA
162,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8300,246,0,199,_rbrdNTpZGo
163,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1878,97,0,27,ELFGsNqZrlM
164,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29388,564,0,90,PWmxLYTixAM
165,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,362774,7842,0,439,I3FBJdiExcg
166,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30541,1125,0,121,hO_YKK_0Qck
167,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3664,133,0,50,2KkrtG5IsHo
168,The Best Computer for Data Science Beginners,2020-07-10,39438,862,0,158,QQLToUlgN7A
169,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6181,231,0,82,6aaIbd-GpZs
170,Critiquing MY OWN Data Science Resume,2020-07-06,12796,399,0,88,lsXWVPzwZPk
171,Where to Start Learning Data Science,2020-07-03,19097,783,0,125,AqPquogHwq0
172,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4226,198,0,35,742LQ38OioU
173,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4640,176,0,52,B1g_yMKpdwo
174,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16768,552,0,79,zGlJ-QndG8E
175,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2436,82,0,40,6fwyyRgZlD0
176,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2390,139,0,49,-3d1NctSv0c
177,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4422,168,0,46,WnB1jsDu900
178,Why You're Struggling to Learn Data Science,2020-06-12,15333,1008,0,159,XjC3FPL-S78
179,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12198,363,0,70,txR8_jGi0Ls
180,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24362,692,0,146,4qZINLzwYyk
181,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5730,155,0,53,mR2NCRgtLPE
182,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,76918,2266,0,272,mEZ1Hj5yQ-8
183,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21014,488,0,81,HJH0gfY6EUg
184,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,56677,2007,0,178,BZFfNwj7JhE
185,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11296,180,0,53,_K6cNdgN3CI
186,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,137887,4575,0,193,1aXk2RViq3c
187,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3105,147,0,115,UcilY6HDuL8
188,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4566,155,0,74,jam0xApfC-U
189,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1399816,48922,0,1989,4OZip0cgOho
190,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5613,198,0,42,QBIe4nbmZfA
191,What You Need to Know for a Data Science Internship,2020-05-01,22654,1217,0,60,KHAuuOQui2U
192,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8402,347,0,53,DW55gaQ_Egk
